Location,Hospital_Name,State,District,Pincode,Hospital_Fax,Website
"22-23-24,Ranganathan Nagar,Selaiyur",Janani Nursing Home Pvt Ltd,Tamil Nadu,Chennai,600003,22294849,0
"No:106, R.K.Mutt Road, Mylapore",Ag Eye Care Hospital,Tamil Nadu,Chennai,600004,0,0
"3, P S Sivasami Salai Mylapore",Avm Medical Ent Research Foundation Pvt Ltd,Tamil Nadu,Chennai,600004,0,0
"148, Luz Church Road Mylapore",Chennai Meenakshi Multispeciality Hospital Ltd,Tamil Nadu,Chennai,600004,0,0
"15, Dr. Radhakrishnan Salai, Mylapore",Csi Kalyani General Hospital,Tamil Nadu,Chennai,600004,044  28475870,0
"148, Luz Church Road Mylapore",Devaki Hospital Ltd,Tamil Nadu,Chennai,600004,0,0
No. 03 2Nd Link Street. Cit Colony,Dr. K Ravi Eye Care,Tamil Nadu,Chennai,600004,0,0
4Second Street Dr Radhakrishnan Road Mylapore,E V Kalyani Medical Centre,Tamil Nadu,Chennai,600004,0,0
"No. 23, Arulanandam Street, Santhome, Mylapore.",Fathimah Eye Clinic,Tamil Nadu,Chennai,600004,0,0
"120/113, Perambur Barracks Road, Purasawalkam",G K M Hospital Pvt Ltd,Tamil Nadu,Chennai,600004,044  43903344,0
"119, Shanmugam Road, West Tambaram,",Kasthuri Hospital,Tamil Nadu,Chennai,600004,0,0
"No.199/90, Mbc Towers,",Kauvery Hospital (Unit Of Sri Kavery Medical Care (Trichy) Ltd.),Tamil Nadu,Chennai,600004,0,0
"15, P.S.Sivasamy Salai, Off Dr.Radhakrishnan Raod) Mylapore,",Madras Ent Research Foundation,Tamil Nadu,Chennai,600004,0,0
"56, Dr.Radha Krishnan Salai,Opposite Kalyani Hospital,Mylapore.",Rajan Dental Institute Pvt. Ltd.,Tamil Nadu,Chennai,600004,28472410,0
"320-A(47-A),Velachery Main Road,Velachery",Ramana Clinic And Nursing Home,Tamil Nadu,Chennai,600004,0,0
"4, Nachiappa Street Mylapore",Sampat Nursing Home,Tamil Nadu,Chennai,600004,0,0
"35 A, Santhome High Road, Marina Beach","Sinus And Nose Hospital - Mylapore, Chennai",Tamil Nadu,Chennai,600004,0,0
"37,Oid#17Bheemasena Garden St., Mylapore",Sri Sayee Poly Clinic,Tamil Nadu,Chennai,600004,0,0
"49, Oliver Rd,Near Vivekananda College,Mylapore.",St.Isabel's Hospital,Tamil Nadu,Chennai,600004,0,0
"W - 98, Second Avenue West Madras Medical Centre",Sunder Eye Hospital,Tamil Nadu,Chennai,600004,2620 4611,0
"No. 33, Desikan Road, Mylapore",Trinity Acute Care Hospital - Chennai,Tamil Nadu,Chennai,600004,0,0
"No: 360, Triplicane High Road, Triplicane,",Dr Agarwals Eye Hospital,Tamil Nadu,Chennai,600005,0,0
"New119, Old No.56, Dr.Natesan Road, Triplicane,",Fousiya Hospital,Tamil Nadu,Chennai,600005,0,0
"Old No-25 New No:53, Big Street, Near Hindu Higher Secondary School",Hiba Hospital,Tamil Nadu,Chennai,600005,0,0
"43, Irusappa St., Triplicane, Cheenai",Mm Harshine Veda Health Centre,Tamil Nadu,Chennai,600005,0,0
"258, Triplicane High Road, Dist - Triplicane",R.R. Multispeciality Hospital,Tamil Nadu,Chennai,600005,0,0
No.241 Triplicane High Road Triplicane,Rathna Nursing Home,Tamil Nadu,Chennai,600005,0,0
"136 (295), Triplicane High Road",Siva E N T Hospital,Tamil Nadu,Chennai,600005,0,0
"2, Pillaiyar Koil Street, Triplicane",Star Bone Joint Center,Tamil Nadu,Chennai,600005,0,0
"Old 239, Triplicane Hig Road,",Subam Nursing Home,Tamil Nadu,Chennai,600005,0,0
"No.100/101, Triplicane High Road, Triplicane",Vasan Eye Care Hospital,Tamil Nadu,Chennai,600005,044  39923030,0
"21, Greams Lane, Off. Greams Road,",Apollo Hospitals,Tamil Nadu,Chennai,600006,91  44  28294429,0
"72, I Main Road,Naganallur.",Bharath Hospital,Tamil Nadu,Chennai,600006,0,0
"Ehrlich Laboratory, Kothi Apartments 1-D, 46 (New 14), College Road,",Dr.Meenakshi Dhamija,Tamil Nadu,Chennai,600006,0,0
"8, 3Rd Street, Subba Rao Avenue",Hillwoods Multidisciplinary Health Service,Tamil Nadu,Chennai,600006,0,0
"No. 1051, P.H.Road, Arumbakkam,",Indian Hospitals,Tamil Nadu,Chennai,600006,0,0
"(A Unit Of Medical Research Foundation)41/18, College Road, Nungambakkam",Sankara Nethralaya,Tamil Nadu,Chennai,600006,044   28254180,0
N0.76(Old No.143) Greams Road(OppositeBsnlteleshoppe),Sono Diagnostics,Tamil Nadu,Chennai,600006,28292368,0
"Rakeshdhamija M.B.B.S 1-D,Kothi Apartments, Ground Floor 14,College Road",Sri Sagara Durga Medicals,Tamil Nadu,Chennai,600006,0,0
"4,Ritherdon Road,Pursaivakam",C.U.Shah Clinic And Diagnostic Center,Tamil Nadu,Chennai,600007,0,0
"21.Ritherdon Road,Vepery,",Joseph Eye Clinic,Tamil Nadu,Chennai,600007,0,0
"No.18, Tana Street, Purasawalkam",Narayanaa Hospital,Tamil Nadu,Chennai,600007,044  26401849,0
"21, Ritherdon Road, Vepery",Ritherdon Nursing Home,Tamil Nadu,Chennai,600007,0,0
"No:20, Thana Street, Purasaiwakkam Purasawakam",Sri Lakshmi Clinicandmaternity Center,Tamil Nadu,Chennai,600007,0,0
"Moondrumavadi,K.Pudur, Madurai-7",St.Mary Of Leuca Hospital,Tamil Nadu,Chennai,600007,0,0
"230, Purswalkam High Road",The Private Hospital,Tamil Nadu,Chennai,600007,0,0
"No. 562, Anna Salai Century Plaza, Opp To Ags Office.",Dr Rai Memorial Medical Center,Tamil Nadu,Chennai,600008,0,0
"28,Marshalls Road Egmore,",Dr. A. Ramachandras Diabetes Hospit,Tamil Nadu,Chennai,600008,0,0
"44, Sakthi Nagar, Adambakkam, Near Dev School",Prime Care Nursing Home,Tamil Nadu,Chennai,600008,22530686,0
Opp Collecter Office Vellore,Siva Kumar Hospitals,Tamil Nadu,Chennai,600009,0,0
"No:7, Barnaby Road Kilpauk",Aditya Hospital,Tamil Nadu,Chennai,600010,0,0
"20, Kellys Road Kilpauk",Akn Nursing Home,Tamil Nadu,Chennai,600010,0,0
"154, Poonta Nala High. Road,Kilpauk, Near, K.Mc. Hospital",Apollo First Medical Foundation,Tamil Nadu,Chennai,600010,28237470,0
"91-A Millers Road, Kilpauk",Ayesha Hospital,Tamil Nadu,Chennai,600010,0,0
"91-A, Millers Road,",Babus Dialysis Centre,Tamil Nadu,Chennai,600010,0,0
"55,New Avadi Road,Kilpauk,",Chennai Cancer Care,Tamil Nadu,Chennai,600010,0,0
"64, Medavakkam Tank Road, Kilpauk,",Chennai Heart Centre,Tamil Nadu,Chennai,600010,0,0
"No.80, New Avadi Road,Alagappa Nagar,Opposite To Pachaiyappa's College For Men,Kilpauk,",Davita Nephrolife,Tamil Nadu,Chennai,600010,4449087275,0
"(Old No.19), New No.37, Millers Road, Kilpauk",Doctor Rexs Hospitals,Tamil Nadu,Chennai,600010,0,0
"212 Mth Road, Ambattur",Dr Rabindran;S Health Care Center,Tamil Nadu,Chennai,600010,0,0
"Old No.764, New No.402, Poonamallee High Road, (Chathurpujadoss Road), Kilpauk, Madras",Dr. A.G. Arumugam Nursing Home,Tamil Nadu,Chennai,600010,0,0
"142/9, Akshaya Building, Purasawalkam High Road, Kellys",Dr. Meera Nursing Home,Tamil Nadu,Chennai,600010,044  43560937,0
"815, Poonamalle High Road",Halsted Surgical Clinic,Tamil Nadu,Chennai,600010,0,0
"No.1, Millers Road, Kilpauk",Hitech Diagnostic Centre,Tamil Nadu,Chennai,600010,0,0
"No : 814, Poonamallee High Rd., Kilpauk",Jayadev Polyclinic Hospital,Tamil Nadu,Chennai,600010,0,0
"214, Poonamallee High Road, Kilpauk",Jm Kerala Aayurveda Speciality Centre,Tamil Nadu,Chennai,600010,0,0
"856,Poonamallee High Road, Kilpauk",Kensington Hospital,Tamil Nadu,Chennai,600010,0,0
"64, Medavakam Tank Road Kilpauk",Km Hospitals,Tamil Nadu,Chennai,600010,0,0
"47/3, New Avadi Road,Near Kilpauk Post Office",Lifeline Rigid Hospital,Tamil Nadu,Chennai,600010,4426449708,0
"No. 14, Bank Street Off New Avadi Road, Kilpauk",M.N.Orthopaedic Hospital,Tamil Nadu,Chennai,600010,4203  8435,0
New No.22(33) Harleys Road Air India Colony Kilpauk,Mahak Clinic,Tamil Nadu,Chennai,600010,0,0
"Kilpauk Garden Road, Dilpauk",Marudhar Kesari Health Foundation Pvt Ltd,Tamil Nadu,Chennai,600010,0,0
"264/125, Kilpauk Garden Road, Kilpauk",Mots Hospital,Tamil Nadu,Chennai,600010,0,0
"No. 814, Poonamallee High Road, Kilpauk",New Hope Medical Centre Pvt. Ltd,Tamil Nadu,Chennai,600010,044  26613966,0
"264/125, Kilpauk Garden Road,,Kilpauk.",Onelife Mots Hospital,Tamil Nadu,Chennai,600010,26449595,0
"753, Poonamallee High Road Kilpauk",Padma Clinic And Nursing Home,Tamil Nadu,Chennai,600010,0,0
191 Poonamallee High Road,Precision Diagnostics,Tamil Nadu,Chennai,600010,0,0
"866, Poonamallee High Road, Kilpauk",R.K. Gynaec And Maternity Hospital,Tamil Nadu,Chennai,600010,0,0
"New.No.264 (Old No 829/2), Poonamallee High Road, Kilpauk",Ramarau Polyclinic,Tamil Nadu,Chennai,600010,0,0
"3, Mandapam Road, Kilpauk",Regina Nursing Home,Tamil Nadu,Chennai,600010,0,0
"1, Prof. Subramaniam Street (Behind Ega Theatre), Kllpauk",Right Hospitals,Tamil Nadu,Chennai,600010,044  26430999,0
"752, Poonamallee High Road Kilpauk Kilpauk",Sarala Neurology Hospital And Research Centre,Tamil Nadu,Chennai,600010,0,0
"No. 15, Ormes Road, Kilpauk,",Satish Eye Hospital,Tamil Nadu,Chennai,600010,044  26613949,0
"/227-1 Opp K.T.C.Depot Thoothukudi Main Road, Tiruchendur-",Shanthi Hospital,Tamil Nadu,Chennai,600010,0,0
"32/1, (Old No.463/1),Kilpauk Garden Rd,Kilpauk.",Sree Sai Krishna Poly Clinic Hospital,Tamil Nadu,Chennai,600010,26449014,0
"Flat1/B,Ii Floor,OldNo191,New#297,Precision Diagnostics Complex,Periyar Evr Salai(P.H.Road)Kilpauk",Sundaram Cancer Centre,Tamil Nadu,Chennai,600010,0,0
"136, Ponamallee High Road,",Sundaravadanan Nursing Home,Tamil Nadu,Chennai,600010,0,0
"Old 17, New 54, Harleys Road, Kilpauk,",Surgical Nursing Home,Tamil Nadu,Chennai,600010,0,0
"18-A, Manickeswari Road, Kilpauk",The Arya Vaidya Chikitsalayam,Tamil Nadu,Chennai,600010,0,0
"No.34/72, Ormes Road, Kilpauk, Kilpauk",Tosh Hospitals Private Limited,Tamil Nadu,Chennai,600010,044  49034903,0
"No.62,Foxen Street Perambur",Bharani Nursing Home,Tamil Nadu,Chennai,600011,0,0
"77, Paper Mills Road, Perambur,",Dr. M. Mohamed Meeran Clinic,Tamil Nadu,Chennai,600011,0,0
"10/84, Paddy Field Road, Perambur",Priya Nursing Home,Tamil Nadu,Chennai,600011,0,0
"New No. 51, 18,Bunder Garden Street,Perambur,Opposite Lourdes Girls School",Sen Hospital,Tamil Nadu,Chennai,600011,"25586896, 26625157",0
"No 7, Bharathi Road Perambur",Sree Narayana Nursing Home,Tamil Nadu,Chennai,600011,0,0
"Old No.89,& New No.106 Pate Road Perambur, (Near Perambur Railway Station), Patel Road",Srinivas Priya Hospital (P) Ltd,Tamil Nadu,Chennai,600011,044  25512277,0
"New.No.32,(Old No.45), Bunder Garden,2Nd Street, Perambur",Subiksha Nursing Home,Tamil Nadu,Chennai,600011,0,0
"105, Pulianthope High Road,,Pulianthope.",Deepam Muthu Hospital,Tamil Nadu,Chennai,600012,0,0
"96, Perambur High Road, Near Jamalia Bus Stop Kamalia",Julian Nursing Home,Tamil Nadu,Chennai,600012,0,0
"No 1, Binny Colony, Perambur Barracks Road, Behind Binny Cloth Show Room,",N.R.Medical Home Private Limited,Tamil Nadu,Chennai,600012,044  2669 2786,0
"No-36, Brickkiln Road Near Abirani Theatre",Shri Balaji Hospital - Chennai,Tamil Nadu,Chennai,600012,044  26626111,0
"N0:532, Suriya Narayana Street, Royapuram, -",Sri Kumaran Multi Speciality Hospital,Tamil Nadu,Chennai,600012,044  25960216,0
119 Sanjeevarayan Koil Street Old Washerman Pet,Vasantha Nursing Home,Tamil Nadu,Chennai,600012,0,0
"No.142, M.S. Koil Street, Royapuram,",Bhagwan Mahaveer Eye Hospital,Tamil Nadu,Chennai,600013,0,0
"Clinic:185,Portuguese Church Street",Dr.C.Satheesh,Tamil Nadu,Chennai,600013,0,0
"No-4, West Mada Church Street, Royapuram,",M V Hospital For Diabetes Pvt Ltd,Tamil Nadu,Chennai,600013,0,0
"10, Arthoon Road Royapuram",Nichani Health Centre,Tamil Nadu,Chennai,600013,0,0
"15, Thoppai Street, Royapuram,",Rathina Clinic,Tamil Nadu,Chennai,600013,0,0
"45, Westkalmandapamroadroyapuram",Sakthis Hospital,Tamil Nadu,Chennai,600013,2596 4729,0
"87/38, M.S. Koil Street, Royapuram",Subha Hospital,Tamil Nadu,Chennai,600013,0,0
"51/18, Adam Sahib Street, Pumping Station Road, Roya Puram",Sudha Hospital,Tamil Nadu,Chennai,600013,0,0
"New141Old#84 Peters Road Royapettah Chennai, Opp Adarsh School",Arasu Medicals,Tamil Nadu,Chennai,600014,0,0
"16,R.O.B Th Street",Dr.Bala Subramanian,Tamil Nadu,Chennai,600014,0,0
"No.159 Lloyds Road, Siva .Ent Hospital Building",Santhigiri Ayurveda and Siddha Hospital,Tamil Nadu,Chennai,600014,0,0
"241,Royupattak High Road,",Seethapathy Nursing Home,Tamil Nadu,Chennai,600014,0,0
No. 159(Old No.94) Lloyds Road Royapettah,Siva E.N.T. Hospital,Tamil Nadu,Chennai,600014,28113390,0
"46, Dr.Besant Road,",The Crescent Hospital,Tamil Nadu,Chennai,600014,0,0
"194Old No 289), Lloyd's Road, Avvai Sanmugam Salai, Royapettah.",Vinayagam Laser Hospital,Tamil Nadu,Chennai,600014,0,0
"11, Sastri 1St Cross Street, Kaveri Nagar Saidapet",Balakrishna Eye Hospital,Tamil Nadu,Chennai,600015,0,0
"No 35 Karaneeswarar Koil Street,Saidapet",Chitra Maternity andSurgival Centre,Tamil Nadu,Chennai,600015,0,0
"No.-9, Sadayappan Mudali Street",R Nandukumar Nursing Home,Tamil Nadu,Chennai,600015,0,0
"391/392, Anna Salai, 1St Floor, Miv Complex., Opposite New Bus Stand, Saidapet",R.G. Stone Urological Research Institute,Tamil Nadu,Chennai,600015,0,0
"No: 9, Sadayappan Street Saidapet",Sri Balaji Ent And Maternity Clinic,Tamil Nadu,Chennai,600015,0,0
"1, Rajambhal St.Rameshwar Apartments T-Nagar",Add Value To Life,Tamil Nadu,Chennai,600017,0,0
"31,Dhandapani Street,T.Nagar",Anuradha Maternity Centre,Tamil Nadu,Chennai,600017,0,0
No 56 Chetty Road T Nagar,Appolo Clinic,Tamil Nadu,Chennai,600017,0,0
"No 20, G N Chetty Road T Nagar",B R Speciality Hospital and Research Center,Tamil Nadu,Chennai,600017,0,0
"2, New Giri Road, T. Nagar,",Bagdi Nursing Home,Tamil Nadu,Chennai,600017,0,0
"No: 20, G N Chetty Road T Nagar",Bharathi Rajaa Specialty Hospital,Tamil Nadu,Chennai,600017,0,0
"37, Myai Ranganthan Street, T. Nagar",Care Hospital,Tamil Nadu,Chennai,600017,0,0
"Old No.24, New 73, Habibullah Road, T.Nagar,",Centre For Blood Disorder,Tamil Nadu,Chennai,600017,0,0
"87,Burkit Road T-Nager",Dianostic Services,Tamil Nadu,Chennai,600017,0,0
"N0-01, Crescent Park Street, T Nagar,",Dr Gurusekaran Hospital Pvt Ltd,Tamil Nadu,Chennai,600017,0,0
"20/3-4 Gopalkrishna Street, Indra Devi Complex, (Near Rohini International), T Nagar",Dr Iravathams Laboratory,Tamil Nadu,Chennai,600017,0,0
"Old Number 21, New Number 3, Bharathi Nagar, 1St Street, 2Nd Lane, T. Nagar",Dr V Rathna Frabhu,Tamil Nadu,Chennai,600017,0,0
"Old No.33,New No.10.Mannar Street,T.Nagar,",Dr Vas Dental Clinic,Tamil Nadu,Chennai,600017,0,0
"56,(Old No.105), G.N. Chetty Road, First Floor, T.Nagar,",Dr. Udhaya Rajas Dental Centre,Tamil Nadu,Chennai,600017,0,0
"No.10/11, Madley Road, T.Nagar",Dr.Duraiswami Eye Hospital,Tamil Nadu,Chennai,600017,0,0
"Old No.65/1,New No 8A,Burkit Road,T.Nagar",Dr.Mehtas Clinic,Tamil Nadu,Chennai,600017,0,0
"New No 11,Old No 4 Saarngapani Street T.Nagar","Dr.N.Nagajothi,M.D",Tamil Nadu,Chennai,600017,0,0
"1,Moosa Street,T.Nager,",Endocrine Diagnostic And Research Centre,Tamil Nadu,Chennai,600017,0,0
"8, Dr Nairs Road T Nagar",Ganga Nursing Home,Tamil Nadu,Chennai,600017,0,0
"No.1 Crescent Park Street, T. Nagar",Gunasekaran Hospitals Pvt. Ltd.,Tamil Nadu,Chennai,600017,044  24313884,0
"157,(Old No.55) Habibullah Road, T.Nagar",Health Speciality Centre,Tamil Nadu,Chennai,600017,0,0
"Mangesh Street, T Nagar",Kottakkal Arya Vaidya Sala,Tamil Nadu,Chennai,600017,0,0
"No.39, Burkit Road, T. Nagar,",Krishna Eye And Ent Hospitals,Tamil Nadu,Chennai,600017,0,0
"No.11/3, Dr.Sadasivam Road, T.Nagar,",Life Span,Tamil Nadu,Chennai,600017,0,0
"13, Raghaviah Road, T Nagar,",M R D Nursing Home,Tamil Nadu,Chennai,600017,0,0
"49 Srinivasa Reddu Street,T Nagar",New Balaji Hospital,Tamil Nadu,Chennai,600017,0,0
"35, Rangan Street, Behind Grt, T.Nagar",Pdr Othopaedic Hospital,Tamil Nadu,Chennai,600017,0,0
"44/2, New Boag Road, T Nagar",Poornima 24 Hours Hospital,Tamil Nadu,Chennai,600017,0,0
"No. 14/20, Chari Street, T. Nagar,",R. K. Eye Centre,Tamil Nadu,Chennai,600017,28140547,0
"13, Raghaviah Road, T Nagar,",R.M.D. Nursing Home,Tamil Nadu,Chennai,600017,0,0
"12, Hindi Prachara Sabha Street, T Nagar",Radhatri Nethralaya,Tamil Nadu,Chennai,600017,0,0
"5,Vidyodaya East Second Street, Behind Vidyodaya School",Rajan Eye Care Hospital Private Limited,Tamil Nadu,Chennai,600017,044  28278768,0
"43, South Usman Road, T Nagar,",Raju Hospital,Tamil Nadu,Chennai,600017,0,0
"55, Sadulla Street, T.Nagar,",Sai Ortho Care Hospital,Tamil Nadu,Chennai,600017,0,0
"24,Coats Road, T.Nagar,",Sathya Physiotherapy Centre,Tamil Nadu,Chennai,600017,0,0
"155, Ground Floor, G N Chetty Road, T Nagar,",Shree Ayurvedic Health Center,Tamil Nadu,Chennai,600017,0,0
"No 53/1 Burkit Road T.Nagar,",Shree Sai Krupa Dental Care,Tamil Nadu,Chennai,600017,0,0
"Flat No14, Dr No 18, Elegant Apartments, Hindi Prachar Sabha Road, T.Nagar",Sree Ramana Surgical Clinic,Tamil Nadu,Chennai,600017,0,0
"A Unit Of Sre Visa Clinic (P) Ltd, No.13,New Boag Road, T Nagar,",Sri Visa Clinic,Tamil Nadu,Chennai,600017,0,0
"54, G.N. Chetty Road, T Nagar,",Sri Viveka Institute Of Dental Health,Tamil Nadu,Chennai,600017,28155267,0
0,Subamathi Clinic,Tamil Nadu,Chennai,600017,0,0
"24, Gopalakrishna Iyer Street, T.Nagar(Near Ratna Electricals)",The Dental Clinic,Tamil Nadu,Chennai,600017,0,0
"24, Rameswaram Road, Devinarayan Apts., T.Nagar,",Thulasi Krishna Nursing Home,Tamil Nadu,Chennai,600017,0,0
"No. 33, Vadapalani Andavar Koil Street Vadapalani,",Vadapalani Multi Speciality Hospital,Tamil Nadu,Chennai,600017,044  24837722,0
"4 / 1 & 4/2, Porur Somasundaram, North Usman Road T Nagar,",Women and Children Foundation,Tamil Nadu,Chennai,600017,0,0
"No 17 Cv Raman Road,",Aarthi Scans,Tamil Nadu,Chennai,600018,0,0
"No. 14, Jayammal Street Teynampat",Apollo Cosmetic Clinic,Tamil Nadu,Chennai,600018,0,0
"12, C P Ramasamy Road, Alwarpet",Apollo Day Surgery,Tamil Nadu,Chennai,600018,0,0
"24, Kasturi Rangan Road,Near Hotel Citola Sheraton, Teynampet,",Aswene Soundra Hospital and Research Centre,Tamil Nadu,Chennai,600018,4424992739,0
Century Plaza Anna Salai Teynampet,Dr Rai Memrial Medical Centre,Tamil Nadu,Chennai,600018,0,0
123 T.T.K. Rood Alwarpet,Frontline Eye Hospital,Tamil Nadu,Chennai,600018,0,0
"542, Ttk Road, Alwarpet",Harvey Heart Hospital Ltd,Tamil Nadu,Chennai,600018,091 44  24311726,0
"No 10 M S Road, Alwarpet",Jayakanthy Polyclinic And Vishnu Infertlilty Center,Tamil Nadu,Chennai,600018,0,0
"81, Ttk Road,,Alwarpet.",Kauvery Hospital,Tamil Nadu,Chennai,600018,0,0
T.T.K.Road Alwarpet,Liberty High Scans,Tamil Nadu,Chennai,600018,0,0
"Thoppu"" New No.2,(Old No.64),Dr.Ranga Road, Abiramapuram,",Nandalala Medical Foundation,Tamil Nadu,Chennai,600018,0,0
No.12 Jaffer Serang St. Ii Line Beach,"National Hospital, Chennai",Tamil Nadu,Chennai,600018,0,0
"Thoppu New No 2 (Old No 64) Dr. Ranga Road, Abhiramapuram",Suraksha Ent Care Centre,Tamil Nadu,Chennai,600018,0,0
"No. 9, Murrays Gate Road, Alwarpet,Next To Jevnampet Post Office,",Udhi Eye Hospitals,Tamil Nadu,Chennai,600018,4442188841,0
"58, L.B. Road, Adyar,",Adyaar P.M. Hospital and Research Centr Pvt.Ltd,Tamil Nadu,Chennai,600020,0,0
"466, 3Rd Avenue Indira Nagar, Adyar",Gs Hospital,Tamil Nadu,Chennai,600020,0,0
"New No.10, Old No.20, 3Rd Avenue, Indira Nagar, Adyar,",Lakshmi Maternity Hospital,Tamil Nadu,Chennai,600020,0,0
"37, 1St Avenue, Sastri Nagar, Adyar,","Lifeline Cliniq , Adyar",Tamil Nadu,Chennai,600020,0,0
"33, Mahatma Gandhi Road, Sastri Nagar, 2Nd Avenue, Adyar",M N Eye Hospital,Tamil Nadu,Chennai,600020,0,0
"19/1, 1St Avenue, Shastari Nagar, Adyar,",Menagudy Hospitals India Pvt Ltd,Tamil Nadu,Chennai,600020,044  24434447,0
"No. -28, 1St Avenue, Indira Nagar, Adyar",Padmapriya Hospital Pvt. Ltd.,Tamil Nadu,Chennai,600020,0,0
"No. 1, 7Th Avenue, Besant Nagar. Near Velankanni Church",Santosh Hospital Pvt Ltd,Tamil Nadu,Chennai,600020,044  24918622,0
"28, First Cross Street, Shastri Nagar Adya (Behind Of Adyas Depot)",Shivasunder Hospital,Tamil Nadu,Chennai,600020,0,0
"1-1, Arunachalam Road, Saligramam",Sooriya Hospital,Tamil Nadu,Chennai,600020,044  23760101,0
"17,Iv Main Road,Indira Nagar",Tt Ranganathan Clinical Research Foundation,Tamil Nadu,Chennai,600020,24918461,0
"No.67, 1St Main Road,Indira Nagar, Adayar",Urology Stone Center,Tamil Nadu,Chennai,600020,0,0
"Old No 115/1,New No 22, Kamaraj Avenue 2Nd Street,Adyar",Vasan Eye Care Hospital,Tamil Nadu,Chennai,600020,0,0
"172, Solaiappan Stree, Near Maharani Theatre",A.V. Hospital-Chennai,Tamil Nadu,Chennai,600021,25950904,0
"26 & 27/1, Telugu Street, Old Washermenpet",Angel Nursing Home,Tamil Nadu,Chennai,600021,0,0
"New 7, Kooresan Street, Chennai",Ishwarya Nursing Home,Tamil Nadu,Chennai,600021,0,0
"53,Thandavaraya Mudali Street,Old Washermanpet",Jayam Nursing Home,Tamil Nadu,Chennai,600021,0,0
"Old No.46(New No.24)Rathna Sabapathy Road, Chennai-",M.K.Nursing Home,Tamil Nadu,Chennai,600021,0,0
"116,118, Rajarathinam Saalai, (G.A. Road),",Nagamani Hospitals Private Limited,Tamil Nadu,Chennai,600021,044  2596552,0
"82, Kappal Polu Street Old Washermenpet",Priya Nursing Home,Tamil Nadu,Chennai,600021,0,0
No 20 Venkatachelam Street,Ram Clinic,Tamil Nadu,Chennai,600021,0,0
